t "NTC 10K r"
84.750000 1113.900527
82.687000 1176.152696
80.625000 1262.898007
78.562000 1351.001648
76.500000 1440.495776
74.437000 1539.750595
72.375000 1640.744239
70.312000 1760.829426
68.250000 1883.420196
66.187000 2026.693802
64.125000 2173.467334
62.062000 2342.932970
60.000000 2527.012731
57.937000 2696.436620
55.875000 2922.620737
53.812000 3135.356685
51.750000 3411.341231
49.687000 3675.699776
47.625000 3962.905537
45.562000 4300.791442
43.500000 4655.448073
41.437000 5042.324450
39.375000 5495.211983
37.312000 5960.253112
35.250000 6471.079061
33.187000 7070.331856
31.125000 7695.212501
29.062000 8410.007839
27.000000 9185.017650
24.937000 10028.185224
22.875000 11004.093334
20.812000 12049.503722
18.750000 13262.900020
16.687000 14569.976429
14.687000 15990.928040
13.250000 17078.487056
